133,"tespre1","Test 1",1,1,0,"2008-02-10 20:28:11.499","2008-02-10 20:28:11.499","zepadmin","zepadmin",1,2,2,1,0,0,
134,"tespre2","Test 2",1,1,0,"2008-02-12 12:06:25.915","2008-02-12 12:06:25.915","zepadmin","zepadmin",1,2,3,1,0,0,
135,"tespre3","Test 3",1,1,0,"2008-02-12 18:48:14.903","2008-02-12 18:48:14.903","zepadmin","zepadmin",1,2,4,1,0,0,
136,"patient_condition","Patient Condition",0,1,1,"2008-03-29 16:28:39.125","2008-03-29 16:28:39.125","zepadmin","zepadmin",1,3,1,7,0,0,"5df4d027-9d5d-4d95-8a00-0854866141a4"
137,"art_regimen","ART Regimen",0,1,1,"2008-09-29 20:30:51.158","2008-03-29 16:32:02.687","zepadmin","zepadmin",1,4,1,1,0,0,"5d477876-1972-4d63-a91d-9f34e86256e8"
138,"rti1","Test rti",1,1,0,"2008-04-24 15:20:43.5","2008-04-24 15:20:43.5","zepadmin","zepadmin",1,2,10,1,0,0,
139,"rti2","RTI 2",1,1,0,"2008-05-03 15:07:05.575","2008-05-03 15:07:05.575","zepadmin","zepadmin",4,2,1,1,5,0,
140,"rti3","RTI 3",1,1,0,"2008-05-04 23:48:35.095","2008-05-04 23:48:35.095","zepadmin","zepadmin",4,2,5,1,500,0,
141,"rti4","RTI 4",1,1,0,"2008-05-05 13:13:42.031","2008-05-05 13:13:42.031","zepadmin","zepadmin",1,2,6,1,1000,0,
142,"rti5","RTI 5",1,1,0,"2008-05-05 13:17:29.064","2008-05-05 13:17:29.064","zepadmin","zepadmin",1,2,6,1,1000,0,
143,"rti6","RTI 6 test",1,1,0,"2008-05-07 19:51:55.218","2008-05-07 19:51:55.218","zepadmin","zepadmin",1,2,7,1,0,0,
144,"test514","Test 514",0,1,0,"2008-05-14 15:48:14.3","2008-05-14 15:48:14.3","zepadmin","zepadmin",1,2,8,1,0,0,
145,"rtisa1","RTI SA 1",1,1,0,"2008-05-21 17:14:35.546","2008-05-21 17:14:35.546","zepadmin","zepadmin",1,2,1,1,0,0,
146,"RTI SA2","rtisa2",1,1,0,"2008-05-22 16:25:43.062","2008-05-22 16:25:43.062","zepadmin","zepadmin",4,2,2,1,0,0,
147,"huhu  hu","test",0,0,0,"2008-05-22 18:02:55.484","2008-05-22 18:02:55.484","zepadmin","zepadmin",4,2,1,1,0,0,
148,"rtisa2","RTI SA 2",1,1,0,"2008-05-22 18:04:04.609","2008-05-22 18:04:04.609","zepadmin","zepadmin",1,2,2,1,0,0,
149,"rtisa3","RTI SA 3",1,1,0,"2008-05-23 16:58:08.203","2008-05-23 16:58:08.203","zepadmin","zepadmin",4,2,1,1,0,0,
150,"rtisa3","RTI SA 3",1,1,0,"2008-05-23 16:58:46.875","2008-05-23 16:58:46.875","zepadmin","zepadmin",4,2,1,1,0,0,
151,"rtisa4","Test RTI SA 4",1,1,0,"2008-05-23 17:06:56.046","2008-05-23 17:06:56.046","zepadmin","zepadmin",4,2,1,1,0,0,
152,"rtisa5","Test RTI SA 5",1,1,0,"2008-05-23 23:32:07.308","2008-05-23 23:32:07.308","zepadmin","zepadmin",4,3,3,1,0,0,
153,"rtisa6","Test RTI SA 6",1,1,0,"2008-05-23 23:46:31.457","2008-05-23 23:46:31.457","zepadmin","zepadmin",4,3,2,1,0,0,
1,"patientRegistration","Patient Registration and Identification",0,0,1,"2006-03-30 15:12:41.0","2004-08-05 12:57:39.0","zepadmin","demo",38,9,0,1,1,0,"a6b06c5d-0a92-47d4-b7ab-e1b275078ebc"
154,"rtisa7","test RTI SA 7",1,1,0,"2008-05-24 12:14:32.677","2008-05-24 12:14:32.677","zepadmin","zepadmin",4,2,2,1,0,0,
155,"rtisa8","Test RTI SA 8",1,1,0,"2008-05-24 18:37:51.815","2008-05-24 18:37:51.815","zepadmin","zepadmin",1,2,2,1,0,0,
156,"rtisa9","Test RTI9",1,1,0,"2008-05-24 23:07:32.473","2008-05-24 23:07:32.473","zepadmin","zepadmin",1,2,2,1,0,0,
157,"rtisa10","Test RTI 10",1,1,0,"2008-05-25 14:40:01.819","2008-05-25 14:40:01.819","zepadmin","zepadmin",4,2,2,1,0,0,
158,"rtisa11","Test RTI 11",1,1,0,"2008-05-25 16:01:00.174","2008-05-25 16:01:00.174","zepadmin","zepadmin",1,2,1,1,0,0,
159,"rtisa12","test rti 12",1,1,0,"2008-05-25 17:09:54.3","2008-05-25 17:09:54.3","zepadmin","zepadmin",4,2,1,1,0,0,
