1,12,"Housewife",,1,,,"demo","demo",,
2,11,"Nil",,1,,,"demo","demo",,
3,28,"Self-Employed",,1,,,"demo","demo",,0
4,10,"Single",,1,,,"demo","demo",,
5,12,"Self-Employed",,1,,,"demo","demo",,
6,11,"Primary",,1,,,"demo","demo",,
7,28,"Employed",,1,,,"demo","demo",,1
8,10,"Married",,1,,,"demo","demo",,
9,12,"Employed",,1,,,"demo","demo",,
10,11,"Secondary",,1,,,"demo","demo",,
11,28,"Student",,1,,,"demo","demo",,2
12,10,"Divorced",,1,,,"demo","demo",,
13,12,"Student",,1,,,"demo","demo",,
14,11,"Tertiary",,1,,,"demo","demo",,
15,28,"Not Employed",,1,,,"demo","demo",,3
16,10,"Widow",,1,,,"demo","demo",,
17,12,"Not Employed",,1,,,"demo","demo",,
18,10,"Cohabitating",,1,,,"demo","demo",,
3200,2161,"apples","0",1,,,,,,0
3201,2161,"oranges","1",1,,,,,,1
3202,2161,"saints","2",1,,,,,,2
3203,2161,"sheep","3",1,,,,,,3
133,264,"<70",,1,,,"demo","demo",,
134,265,"<40",,1,,,"demo","demo",,
162,303,"<1.010",,1,,,"demo","demo",,
163,304,"0 (Negative)",,1,,,"demo","demo",,
164,305,"0 (Negative)",,1,,,"demo","demo",,
165,306,"0 (Negative)",,1,,,"demo","demo",,
198,359,"<70",,1,,,"demo","demo",,
199,360,"<40",,1,,,"demo","demo",,
201,363,"<1.010",,1,,,"demo","demo",,
224,364,"0 (Negative)",,1,,,"demo","demo",,
225,365,"0 (Negative)",,1,,,"demo","demo",,
226,366,"0 (Negative)",,1,,,"demo","demo",,
286,490,"Female",,1,,,"demo","demo",,
302,533,"Yes",,1,,,"demo","demo",,
319,572,"<70",,1,,,"demo","demo",,
320,573,"<40",,1,,,"demo","demo",,
341,613,"<70",,1,,,"demo","demo",,
342,614,"<40",,1,,,"demo","demo",,
344,617,"<1.010",,1,,,"demo","demo",,
345,618,"0 (Negative)",,1,,,"demo","demo",,
346,619,"0 (Negative)",,1,,,"demo","demo",,
347,620,"0 (Negative)",,1,,,"demo","demo",,
3204,2164,"apples","0",1,,,,,,0
3205,2164,"oranges","1",1,,,,,,1
3206,2164," bananas","2",1,,,,,,2
3207,2177,"apples","0",1,,,,,,0
3208,2177,"oranges","1",1,,,,,,1
3209,2177,"bananas","2",1,,,,,,2
3210,2183,"apples","0",1,,,,,,0
3211,2184,"sweetyo","0",1,,,,,,0
3212,2184,"sourishy","1",1,,,,,,1
3213,2188,"one","0",1,,,,,,0
3214,2188,"two","1",1,,,,,,1
3215,2188,"three","2",1,,,,,,2
3216,2189,"de","0",1,,,,,,0
3217,2189,"dt","1",1,,,,,,1
3218,2189,"yg","2",1,,,,,,2
3219,2190,"sd","0",1,,,,,,0
3220,2190,"rt","1",1,,,,,,1
3221,2190,"gk","2",1,,,,,,2
3222,2197,"one","0",1,,,,,,0
3223,2197,"two","1",1,,,,,,1
3224,2197,"three","2",1,,,,,,2
3225,2209,"one","0",1,,,,,,0
3226,2209,"two","1",1,,,,,,1
3227,2209,"three","2",1,,,,,,2
3228,2213,"one","0",1,,,,,,0
3229,2213,"two","1",1,,,,,,1
3230,2217,"apples","0",1,,,,,,0
3231,2217,"pomegranites","1",1,,,,,,1
3232,2217,"cucumbers(engrish)","2",1,,,,,,2
3233,2217,"potatoes","3",1,,,,,,3
3234,2219,"bananas","0",1,,,,,,0
3235,2219,"guavas","1",1,,,,,,1
3236,2219," cherries","2",1,,,,,,2
3237,2219," etc","3",1,,,,,,3
3238,2220,"firm","0",1,,,,,,0
3239,2220,"soft","1",1,,,,,,1
3240,2220,"strange","2",1,,,,,,2
3241,2221,"one","0",1,,,,,,0
3242,2221,"two","1",1,,,,,,1
3243,2221,"three","2",1,,,,,,2
3244,2221,"four","3",1,,,,,,3
3245,2223,"one","0",1,,,,,,0
3246,2223,"two","1",1,,,,,,1
3247,2223,"three","2",1,,,,,,2
3248,2227,"one","0",1,,,,,,0
3249,2227,"two","1",1,,,,,,1
3250,2227,"three","2",1,,,,,,2
3251,2230,"apples","0",1,,,,,,0
3252,2230,"oranges","1",1,,,,,,1
3253,2230,"kiwis","2",1,,,,,,2
3254,2232,"one","0",1,,,,,,0
3255,2232,"two","1",1,,,,,,1
3256,2232,"three","2",1,,,,,,2
3257,2235,"one","0",1,,,,,,0
3258,2235,"two","1",1,,,,,,1
3259,2235,"three","2",1,,,,,,2
3260,2243,"apples","0",1,,,,,,0
3261,2243,"oranges","1",1,,,,,,1
519,978,"<70",,1,,,"demo","demo",,
520,979,"<40",,1,,,"demo","demo",,
3262,2243,"bananas","2",1,,,,,,2
3263,2250,"Received","0",1,,,,,,0
3264,2250,"Issued","1",1,,,,,,1
3265,2250,"Losses","2",1,,,,,,2
3266,2250,"Pos. Adjust.","3",1,,,,,,3
3267,2250,"Neg. Adjust.","4",1,,,,,,4
3268,2254,"Male","0",1,,,,,,0
3269,2254,"Female","1",1,,,,,,1
3270,2257,"apples","0",1,,,,,,0
3271,2257,"bananas","1",1,,,,,,1
3272,2257,"oranges","2",1,,,,,,2
3273,2261,"apples","0",1,,,,,,0
3274,2261,"oranges","1",1,,,,,,1
3275,2264,"Infant (0-3)","0",1,,,,,,0
3276,2264,"Chiild (3-12)","1",1,,,,,,1
3277,2264,"Teen (13-18)","2",1,,,,,,2
3278,2264,"Adult (18 - over)","3",1,,,,,,3
3279,2250,"Out-of-stock","5",1,,,,,,5
3280,2277,"Positive","1",1,,,,,,1
3281,2277,"Negative","0",1,,,,,,0
3282,2277,"Not Done","2",1,,,,,,2
3283,2279,"Adult","0",1,,,,,,0
3284,2279,"Child","1",1,,,,,,1
665,264,"70",,1,,,"demo","demo",,
666,265,"40",,1,,,"demo","demo",,
694,303,"1.010 - 1.025",,1,,,"demo","demo",,
695,304,"Trace",,1,,,"demo","demo",,
696,305,"Trace",,1,,,"demo","demo",,
697,306,"Trace",,1,,,"demo","demo",,
730,359,"70",,1,,,"demo","demo",,
731,360,"40",,1,,,"demo","demo",,
733,363,"1.010 - 1.025",,1,,,"demo","demo",,
756,364,"Trace",,1,,,"demo","demo",,
757,365,"Trace",,1,,,"demo","demo",,
758,366,"Trace",,1,,,"demo","demo",,
818,490,"Male",,1,,,"demo","demo",,
834,533,"No",,1,,,"demo","demo",,
850,572,"70",,1,,,"demo","demo",,
851,573,"40",,1,,,"demo","demo",,
872,613,"70",,1,,,"demo","demo",,
873,614,"40",,1,,,"demo","demo",,
875,617,"1.010 - 1.025",,1,,,"demo","demo",,
876,618,"Trace",,1,,,"demo","demo",,
877,619,"Trace",,1,,,"demo","demo",,
878,620,"Trace",,1,,,"demo","demo",,
1049,978,"70",,1,,,"demo","demo",,
1050,979,"40",,1,,,"demo","demo",,
1134,264,"80",,1,,,"demo","demo",,
1135,265,"50",,1,,,"demo","demo",,
1151,303,">1.025",,1,,,"demo","demo",,
1152,304,"1+",,1,,,"demo","demo",,
1153,305,"1+",,1,,,"demo","demo",,
1154,306,"1+",,1,,,"demo","demo",,
